Group,Name,Basic relationship,Presetted values
,Lagrange multipliers/Optimering med bivillkor,"$math{f, g ""partial derivatives continous"" (x_0, y_0), f(x, y) ""local max/min"", P_0 -> f(x, y) = (2x+y)^2, g(x, y) = c -> \nabla f, \nabla g (""parallel"", ""ortogonal"") ""to level curve"" (\nabla f = \l*\nabla g)}

-> Critical points to/Sök kritiska punkter till (Lagrange function/Lagrangefunktionen) $math{L(x, y, \l) = f(x, y) - \l*(g(x, y)-c)}
$math{0 = (\\dL)/(\\dx) = (\\df)/(\\dx) - \l*(\\dg)/(\\dx)}
$math{0 = (\\dL)/(\\dy) = (\\df)/(\\dy) - \l*(\\dg)/(\\dy)}
$math{0 = (\\dL)/(\\d\l) = g(x, y)}","f(x, y)=(2x+y)^2, x^2+y^2-5=0
-> \pm(1, -2), \pm(2, 1)"
,More constrained Lagrange,"$math{f(x, y, z), (g(x, y, z)=0, h(x, y, z)=0)
L(x, y, z, \l, \m)=f(x, y, z)+\l*g(x, y, z)+\m*h(x, y, z)}",
,Lagrange multipliers n-space,"$math{f([x]), ({k=1, n, g_k(x)}), f, g, ""smooth"", ""3rd partial derivatives continous"", \nabla g_k!=0
M={x\in\\R^n, {k=1, m, g(x)}=0}, \dim(M)=n-m, ""Assumption: ""M ""linear independent"" (\S{k=1, m, c_k*\nabla g_k(a)}=0 -> {k=1, m, c_k}!=[0])
N=\span*{\nabla g_1(x),\nabla g_2(x),\nabla g_3(x)}, \dim(N)=m, T=N^\perp={v \in \\R^n, {k=1, m, \nabla g_k([a]).[v]=[0]}}, dim(T)=n-m}
[Image]",
,,"$math{[a] "" extreme value "" M -> L([x], [\l])=f([x])+\S{k=1, m, \l_k*g_k([x])}}

$math{[a] "" local extreme value"", L([x], [\l])=f([x])+\S{k=1, m, \l_kg_k([x])} -> \nabla_[x] L([a], [\l])=\nabla f([a])+\S{k=1, m, \l_k \nabla g_k([x])}=0 -> \nabla f([a])=-\S{k=1, m, \l_k \nabla g_k([x])} -> \nabla f([a]) \in! N
([v] \in T->\nabla f([a])^T[v]!=0) -> (\nabla f([a])^T*[V]>0, \nabla f([a])^T*(-[v])<0) -> (f([a]+t*[v])>f([a]), f([a]-t*[v])<f([a])) -> [a] "" not extremum""}",
,,"2nd derivative restricted test $math{H(x)=[[L_(11'), L_(12'), ..., L_(1n')], [L_(21'), L_(22'), ..., L_(2n')], [...], [L_(n1'), L_(n2'), ..., L_(nn')]]}
Positive definite -> Local min
Negative definite -> Local max
Indefinite -> Saddle

$math{f([a]+[h])-f([a])=[h].\nabla f([a]) + 1/2*([h].\nabla)^2f([a])+O(|[h]|^3), g([a]+[h])-g([a])=[h].\nabla g([a]) + 1/2*([h].\nabla)^2g([a])+O(|[h]|^3)
[a] "" critical point"", h->0, f([a]+[h])-f([a])+\S{k=1, m, g_k([a]+[h])-g_k([a])}=f([a]+[h])-f([a])+0=f([a]+[h])-f([a])
[h].\nabla f([a])+1/2*([h].\nabla)^2+O(|[h]|^3)+\S{k=1, m, [h].\nabla g_k([a])+1/2*([h].\nabla)^2 g_k([a])+O(|[h]|^3)=[h].\nabla L([a])+1/2*(h.\nabla)^2L([a])+O(|[h]|^3)}=1/2*\S{k=1, n, \S{l=1, n, h_k*h_l*L_(kl)([a])}}+O(|[h]|^3)=[h]^T*H*[h]+O(|[h]|^3)}",
,,"Restricted Hessian, H positive/negative definite -> H_T positive/negative definite
$math{{[u]_1, [u]_2, ..., [u]_(n-m)} "" ortonormal basis "" T, \e=[u_1, u_2, ..., u_m], [H]_T=\e^TH\e -> [H]_T "" positive/negative definite""}",
,Method of least square,"$math{y=c -> S=\S{k=1, n, (c-c_k)^2}, c=\bar{c} -> (\\dS)/(\\dc)=\S{k=1, n, 2(\bar{c}-c_k)}=2n\bar{c}-2\S{k=1, n, c_k}=0 -> \bar{c}=1/n\S{k=1, n, c_k}}",
,,"$math{y=ax+b -> S=\S{k=1, n, (y_k-ax_k-b)^2}, (\\dS)/(\\da)=-2\S{k=1, n, x_k(y_k-ax_k-b)}=0 -> a\S{k=1, n, (x_k)^2}+b\S{k=1, n, x_k}=\S{k=1, n, x_ky_k}
(\\dS)/(\\db)=-2\S{k=1, n, y_k-ax_k-b}=0->a\S{k=1, n, x_k}+b*n = \S{k=1, n, y_k}
a=(n\S{k=1, n, x_ky_k}-\S{k=1, n, x_k}\S{k=1, n, y_k})/(n\S{k=1, n, x_k^2}-(\S{k=1, n, x_k})^2)=(\bar{xy}-\bar{x}\bar{y})/(\bar{x^2}-(\bar{x}^2)), b=(\S{k=1, n, x_k^2}\S{k=1, n, y_k}-\S{k=1, n, x_k}\S{k=1, n, x_ky_k})/(n\S{k=1, n, x_k^2}-(\S{k=1, n, x_k})^2)=(\bar{x^2}\bar{y}-\bar{x}*\bar{xy})/(\bar{x^2}-(\bar{x}^2))}",
,,"$math{I(p, q)=\int{0, 1, (f(x)-px-q)^2dx}, (\\dI)/(\\dp)=-2\int{0, 1, x(f(x)-px-q)dx}, (\\dI)/(\\dq)=-2\int{0, 1, (f(x)-px-q)dx}
p/3+q/2=\int{0, 1, xf(x)dx}, p/2+q=\int{0, 1, f(x)dx}->p=\int{0, 1, (12x-6)f(x)dx}, q=\int{0, 1, (4-6x)f(x)dx}}",
,,"Fourier series (f approx with \S{k=1, n, b_k*sin(kx)}):
$math{I=\int{0, \p, (f(x)-\S{k=1, n, b_k*sin(kx)dx})^2}}",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Vector fields,,"f(x, y, z) = (x*y, y+z-1)",
,Vector fields/Vektorfält,"[F](x, y, z) = -k/(x^2+y^2+z^2)^(3/2)(x, y, z)
[F](x, y) = k/(x^2+y^2)(-y, x)
[F]([r]) = -k/|[r]|^3[r]",
,Konservativ vektorfält,"[F](x, y, z) = \nabla f(x, y, z), [F] med potential f
[F] = (P, Q, R) = ((\\df)/(//dx), (\\df)/(//dy), (\\df)/(//dz))
(\\dP)/(\\dy) = (\\dQ)/(\\dx), (\\dQ)/(\\dz) = (\\dR)/(\\dy), (\\dP)/(\\dz) = (\\dR)/(\\dx)

Blandade andraderivatorna lika:
\\f_('xy) = \\f_('yx) -> (\\dP)/(\\dy) = (\\dQ)/(\\dx)

Fältlinjer, potential, ekvipotentiallinjer",
,Kurvintegraler av vektorfält,"[F] = (P, Q), [r](t) = (x(t), y(t))
int2{\g, [F].[dr]} = int2{\g, Pdx+Qdy} = int{a, b, (P(x(t), y(t))x'(t) + Q(x(t), y(t))y'(t))dt}",
,,"Konservativ vektorfält, [F]=(y^2, 2xy) -> f=xy^2, [r](t) = (t, t^2) r(0) -> r(1)
int2{\g, [F].[dr]} = f(1, 1^2) - f(0, 0^2)",
,Ytintegral,"Y: x^2+y^2+z^2=1, z>=0 -> [r](sin(\p)cos(\t), sin(\p)sin(\t), cos(\p))
dS = |[r_('\p)]*[r_('\t)]|d\p*d\t, int2{Y, z^2*dS} = int{0, 2\pi, int{0, \pi/2, cos^2(\p)*sin(\p)d\p}d\t}",
,Flödesintegral,"[F](x, y, z) = (x, y, 0), Y: x^2+y^2<=1, 0<=x<=1
int2{Y, [F].[N]dS} = int2{Y, (cos(\t), sin(\t), 0).(cos(\t), sin(\t), 0)|[r_('\t)*r_('z)]|d\t*d\z}",
,Green's formel i planet,"ringint{\g, (P*dx+Q*dy)} = int2{D, ((\\dQ)/(\\dx) - (\\dP)/(\\dy))dxdy}
(Under vissa förutsättningar, positivt orienterad)
\g en kurva runt område D","\g: x^2+y^2=1, x=0, y=0, x>=0, y>=0
ringint{\g, -y^3dx + x^3dy} = int{D, (3x^2+3y^2)dxdy}"
,Divergenssatsen/Gauss sats,"(Under vissa förutsättningar på [F], K)
int2(\\dK, [F].[N]dS) = int3{K, div[F]dV}

K: x^2+y^2+z^2 = 1
[F](x, y, z) = (x+y, y, 0), int2{\\dK, [F].[N]dS} = int3{K, div[F]dV} = int3{K, 3dV}",
,,,
,,,
,,,
,,,
,Derivative of vectors,"[A]([u]) = [[A_1([u])], [A_2([u])], [A_3([u])]]
d[A]/du = lim{\Du->0, (A(u+\Du)-A(u))/(\Du)} = [[dA_1/du], [dA_2/du], [dA_3/du]]",
,Nabla operator/del operator,"$math{\nabla = [[\\d/(\\dx)], [\\d/(\\dy)], [\\d/(\\dz)]]}",
,,"$math{\grad(f) = (\nabla)f = [[\\d/(\\dx)], [\\d/(\\dy)], [\\d/(\\dz)]]}",
,,$math{div([F]) = \nabla.[F] = (\\dF_1)/(\\dx) + (\\dF_2)/(\\dy) + (\\dF_3)/(\\dz)},
,,"curl [F] = \nabla*[F] = [[\\dF_3/\\dy-\\dF_2/\\dz], [\\dF_1/\\dz-\\dF_3/\\dx], [\\dF_2/\\dx-\\dF_1/\\dy]]",
,Derivative rules for vectors,d/(dx)([F].[G]) = [F].(d[G])/(dx) + (d[F])/(du).[G],
,,d/(dx)([F]*[G]) = [F]*(d[G])/(dx) + (d[F])/(dx)*[G],
,,d/(dx)([F].([G]*[H])) = (d[F])/(dx).([G]*[H]) + [F].((d[G])/(dx)*[H]) + [F].([G]*(d[H]/dx)),
,,[F].(d[F])/(dx) = [F](d[F])/(dx),
,,"[F].(d[F])/(dx) = 0, if |[F]| is constant",
,,,
,Nabla operator rules,\nabla(f+g) = \nabla(f) + \nabla(g),
,,\nabla.([F]+[G]) = \nabla.[F] + \nabla.[G],
,,\nabla*([F]+[G]) = \nabla*[F] + \nabla*[G],
,,\nabla.(f[G]) = ((\nabla)f).[G] + f(\nabla.[G]),
,,\nabla*(f[G]) = ((\nabla)f)*[G] + f(\nabla*[G]),
,,\nabla.([F]*[G]) = [G].(\nabla*[F]) - [F].(\nabla*[G]),
,,\nabla*([F]*[G]) = ([G].\nabla)[F] - [G](\nabla.[F]) - ([F].\nabla)[G] + [F](\nabla.[G]),
,,\nabla([F].[G]) = ([G].\nabla)[F] + ([F].\nabla)[G] + [G]*(\nabla*[F]) + [F]*(\nabla*[G]),
,,\nabla*((\nabla)f) = 0,
,,\nabla.(\nabla*[F]) = 0,
,,\nabla.((\nabla)f) = (\nabla^2)U,
,,\nabla*(\nabla*[F]) = \nabla(\nabla.[F])-\nabla^2[F],
,,,
,,,
,,,
,Differentiation under the integral sign,"f(\a) = int{g_1(\a), g_2(\a), f(x,\a)*dx} ->
df/d\a = f(g_2, \a)*dg_2/d\a - f(g_1(\a),\a)*dg_1/d\a + int{(g_1(\a)), (g_2(\a)), \df(x,\a)/\d\a*dx}
= int{(g_1), (g_2), \df(x,\a)/\d\a*dx} (if g_1, g_2 = constant), formula of Leibnitz",
,Laplace equations,$math{\\d^2z/(\\dx^2)+\\d^2z/(\\dy^2)=0 -> z=e^(kx)*cos(ky)},
,,"$math{f(x, y)} harmonic -> $math{f(x^2-y^2, 2xy)} harmonic",
,Wave equation,$math{\\d^2w/(\\dt^2) = c^2*(\\d^2w/(\\dx^2)) -> w=f(x-ct)+g(x+ct)},
,Laplace equation in polar coordinates,$math{(\\d^2z)/(\\dr^2)+1/r*((\\dz)/(\\dr))+1/r^2*((\\d^2z)/(\\dr^2)) = (\\d^2z)/(\\dx^2)+(\\d^2z)/(\\dy^2)},
,,,
,,,
,,,
