Group,Name,Basic relationship,Presetted values
,Unit normal vector,"[N](s) = d[T]/(ds)
[T](s).[T](s)=1 -> 2[T](s).d[T]/(ds) = 0",
,Curvature ,\k(s) = |d[T]/(ds)|,
,Radius of curvature,\r(s) = 1/\k(s),
,,[N](s) = 1/\k(s)*d[T]/(ds) = (d[T]/(ds))/|d[T]/(ds)|,
,,"Curvature as rate of turning of unit tangent
\k > 0 on interval containing s, \D\t angle between [T](s+\D*s) and [T](s) -> \k(s) = lim{\D*s->0, (\D*\t)/(\D*s)}

[\D*T] = [T](s+\D*s) - [T](s)
-> \lim{\D*s->0, |(\D*[T])/(\D*\t)| = 1
\k(s) = \lim{\D*s->0, (\D*[T])/(\D*s)} = \lim{\D*s->0, (\D*[T])/(\D*\t)}*\lim{\D*s->0, (\D*\t)/(\D*s)} = \lim{\D*s->0, (\D*\t)/(\D*s)}",
,Osculating plane,[r](s) with both [N] and [T],
,Osculating circle,"[r_c] circle center, \r(s) radius
[r_c](s) = [r](s) + \r(s)[N](s)",
,Unit binomial,[B] = [T]*[N],
,Torsion,"\k(s) != 0 -> exist \t(s) torsion in d[B]/(ds) = -\t(s)[N](s)

d[B]/(ds) = d[T]/(ds)*[N] + [T]*d[N]/(ds) = \k[N]*[N] + [T]*d[N]/(ds) = [T]*d[N]/(ds)
d[B]/(ds) both perpendicular to [T] and [B] -> parallel with [N]",
,,"lim{\Ds->0, |\D\phi/\D*s|} = |\t(s)|",
,Frenet-Serret frame,"{[T], [N], [B]}",
,Frenet-Serret formulas,"d[T]/(ds) = \k[N]
d[N]/(ds) = -\k[T] + \t[B]
d[B]/(ds) = -\t[N]",
,The fundamental theorem of space curves,"C_1 and C_2 curves with same \k(s) != 0, \t(s) -> Congruent curves (moved rigidly, only translate and rotate to coincide)
s=0 -> coinciding frames

[N], [B] undefined \k=0, (C_1: [T_1](s), [N_1](s), [B_1](s)), (C_2: [T_2](s), [N_2](s), [B_2](s))
f(s) = [T_1](s).[T_2](s) + [N_1](s).[N_2](s) + [B_1](s).[B_2](s)
f'(s) = [T_1]'(s).[T_2](s) + [T_1](s).[T_2]'(s) + [N_1]'(s).[N_2](s) + [N_1](s).[N_2]'(s) + [B_1]'(s).[B_2](s) + [B_1](s).[B_2]'(s) = \k*[N_1].[T_2] + [T_1].(\k*[N_2]) + (-\k*[T_1] + \t*[B_1]).[N_2] + [N_1].(-\k[T_2] + \t[B_2]) + (-\t*[N_1]).[B_2] + [B_1](-\t*[N_2]) = 0 -> Coinciding curve frames, coinciding curve -> f(s)=3 -> [T_1](s).[T_2](s) = 1 -> d[r_1]/(ds) = [T_1] = [T_2] = d[r_2]/(ds) -> [r_1](s) = [r_2](s) (s=0 coinciding point)",
,General parametrization,"[v] = d*[r]/(dt) = d*[r]/(ds)*(ds)/(dt) = v[T]
[a] = d*[v]/(dt) = (dv)/(dt)*[T] + v*d*[T]/(dt) = (dv)/(dt)*[T] + v*d*[T]/(ds)*(ds)/dt) = (dv)/(dt)[T] + v^2\k*[N] <- Tangental + normal acceleration
[v]*[a] = v[T]*(dv/(dt)[T]) + v^3\k[T]*[N] = v^3\k*[B]",
,,"-> [T] = [v]/v, [B] = ([v]*[a])/|[v]*[a]|, \k = |[v]*[a]|/[v]^3",
