Group,Name,Basic relationship,Presetted values
,QUADRILATERALS - PARALLELOGRAMS,"Interior Angles:\n$math{A=C}\n$math{B=D}\n$math{A+B=180\deg}\n\nInterior Lengths:\n$math{h=asin(A)=asin(B)}\n\n$math{p=sqrt(a^2+b^2-2abcos(A))}\n\n$math{q=sqrt(a^2+b^2-2abcos(B))}\n\nPerimeter:\n$math{2(a+b)}\n\nArea:\n$math{bh=absin(A)=absin(B)}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(A,B,C,D,E)\nQuadrilateral(A,B,C,D)\nSegment(A,D)=a\nSegment(B,C)=a\nSegment(A,B)=b\nSegment(D,C)=b\nSegment(A,C)=q\nSegment(D,B)=p\nSegment(D,E)=h\nParallel(Line(A,B),Line(D,C))\nParallel(Line(A,D),Line(B,C))\nPerpendicular(Line(D,E),Line(A,B))",
,Trapezoid/Paraelltrapets,$math{A=h(a+b)/2},
,Paraellogram,"$math{A=bh}, $math{P=2(a+b)}",
,Diamond/diamant,,
,Rectangle/Rektangel,"$math{<A, B, C, D=90}
$math{A=bh}",
,Square/Kvadrat,"$math{<A, B, C, D=90, AC⊥BD}
$math{<A, B, C, D=90, AB=BC=CD=AD}
$math{A=s^2}",
,,,
,,,
,PLANE AREA APPROXIMATION FORMULAS,"Divide the planar area ABCD into n parallel strips of equal thickness.\n\nLet x_0,x_1,x_2,...,x_n denote the lengths of the vertical cords.\n\n$math{h=(B-A)/n}\n\nGeometry:\nSystem(2,Euclidean)\nPoint(A,B,C,D)\nQuadrilateral(A,B,C,D)\nParallel(Line(A,B),Line(C,D))\n\nTrapezoidal Rule:\n$math{Area=h*((1/2)x_0+x_1+x_2+...+x_(n-1)+(1/2)x_n)}\n\nSimpson's Rule (n even):\n$math{Area=(1/3)h(x_0+4x_1+2x_2+4x_3+2x_4+...+2x_(n-2)+4x_(n-1)+x_n)}\n\nDurand's Rule:\n$math{Area=h((4/10)x_0+(11/10)x_1+x_2+x_3+...+x_(n-2)+(11/10)x_(n-1)+(4/10)x_n)}\n\nWeddle's Rule (n=6):\n$math{Area=(3/10)h(x_0+5x_1+x_2+6x_3+x_4+5x_5+x_6)}",
,REGULAR POLYGONS,"Note:\nn=number of sides\nr=radius of inscribed circle\nR=radius of circumscribed circle\n\nInterior Angles:\n$math{\t=((n-2)/n)180\deg}\n$math{n>2}\n\nPerimeter:\n$math{na=2nrsin(180\deg/n)}\n\nLength:\n$math{a=2rtan(180\deg/n)}\n\n$math{a=2Rsin(180\deg/n)}\n\nRadii:\n$math{r=(1/2)acot(180\deg/n)}\n\n$math{R=(1/2)acsc(180\deg/n)}\n\nArea:\n$math{(1/4)na^2cot(180\deg/n)}\n\n$math{=nr^2tan(180\deg/n)}\n\n$math{=(1/2)nr^2*sin(360\deg/n)}\n\nGeometry:\nSystem(2,Euclidean)\nPolygon(A,B,C,D,E,...)\nRegularPolygon(n)\nSegment(side)=a\nSegment(center,vertex)=R\nSegment(center,side_midpoint)=r\nAngle(interior)=\t",
