Group,Name,Basic relationship,Presetted values
Possibility calculation,Possibility/Sannolikhet,"(P: Sannolikhet, n: gynsamma utfall, N: möjliga utfall)",
,,P(A) = n(A)/N(A) = 8/20 = 2/5 = 40%,
,Partial probabilities,"C(5, 2)*.7^2*.3^3=13.32%",
,,"\\S{k=1, 3, C(8, k)*.35^(8-k)*.65^}k=11%",
,,,
,,,
,,,
,Collective statistics,,
,Diagrams,,
,Column chart/Stolpdiagram,,
,Bar chart/Stapeldiagram,,
,Histogram,,
,Line chart/Linjediagram,,
,Pie chart/Cirkeldiagram,,
,,,
,,,
,,,
Measures of central tendency/Lägesmått,Arithmetic mean,"\bar{x}=\S{i, x_i/n}",
,Geometric mean,\gmean{x}=n^\sqrt{\P{x}},
,Mode/Typvärde,,
,Standard Deviation,"s = sqrt( \S{i=1, n, (x_i - \bar{x})^2} / (n - 1) )",
,Variance,"s^2 = \S{i=1, n, (x_i - \bar{x})^2} / (n - 1)",
,"Population Mean, \m",\m = \bar{x} \pm z_c * (s / sqrt(n)),
,"Population Standard Deviation, \s",\s = s \pm z_c * (s / sqrt(2n)),
,Critical values Z_c,"Confidence value -> Critical value (Z_c)
0.995 -> 2.81
0.99 -> 2.58
0.98 -> 2.33
0.97 -> 2.17
0.96 -> 2.05
0.95 -> 1.96
0.90 -> 1.645
0.80 -> 1.28
0.50 -> 0.6745",
Distribution equations,Discrete Distributions,,
,Binomial Distribution,"f(x) = (n! / (x! * (n - x)!)) * p^x * (1 - p)^(n - x)
Mean = np
Variance = np*(1 - p)",
,Poisson Distribution,"f(x) = ( (np)^x * e^(-np) ) / x!
Mean = np
Variance = np",
,Continuous Distributions,"f(x) = (1 / (\s * sqrt(2\pi))) * exp( -(1/2) * ((x - \m)/\s)^2 )
Mean = \m
Variance = \s^2",
,Gaussian/Normal distribution,"f(z) = (1 / sqrt(2\pi)) * \exp( -(1/2) * z^2 )
z = (x - \m) / \s
p = probability of success in a single trial",
,,,
Measures of dispersion/Spridningsmått,Range/Variationsbredd,x_max-x_min,
,Standard deviation/Standardavvikelse,\sigma=\sqrt{\S{x-\mean{x}^2}/n},
,Variance/Varians,\sigma²=\sqrt{\S{(x-\mean{x})^2}/n},
,Median,,
,Interquartile range(IQR)/Kvartilavstånd,"Percentile (Pn), Median (P50), Quartile (P25/P75)",
