Group,Name,Basic relationship,Presetted values
,,"$math{f(x)={{k=0, n, A[k](x): B[k](x)}}}
$math{{k=0, n, A[k](B[k]) = {l=0, n, l!=k, A[l](B[k])}}}","$math{f={x^2+2x: x<=1, x+2: x>1}, f={x^2+2x: x<=1, 4x+1: x>1}, f={x^2+2x: x<=1, 4x-1: x>1}}"
,Differential of piecewise functions/Derivata av styckvis definierade funktioner,"Derivation rules cannot be applied to both piecewise definitions.
$math{f(x)={x^2: x>0, x^3+x^4: x<=0}}
$math{f'(0) = lim{h->0, (g(h)-g(0))/h}, lim{x->0+, (h^2-0)/h} = 0, lim{x->0-, (h^3+h^4-0)/h} = 0}",
,,"$math{f(x)={x^2*sin(1/x): x!=0, 0: x=0}}
$math{f'(0) = lim{h->0, (f(h)-f(0))/h} = (h^2*sin(1/h))/h = 0, f(x)={2/x*sin(x)-cos(x): x!=0, 0: x=0}, lim{t->0, f(t)} = lim{t->0, 2/t*sin(t)-cos(t)} undefined -> Non continous derivative}",
Higher derivatives,2nd derivative,$math{d/(dx)*(dy/dx) = (d^2*y)/(dx^2) = f''(x) = y''},
,3rd derivative,$math{d/(dx)*(d^2/dx^2) = (d^3*y)/(dx^3) = f'''(x) = y'''},
,Product derivatives (Leibnitz's rule),"$math{d^n/(dx^n) (f*g) = \S{k=0, n, C(n, k)*((d^(n-k)f)/dx^(n-k))*((d^k*f)/dx^k)}",
,,,
,,,
,,,
,,,
,,,
,Rolle's theorem,"Between each pair of zeroes of continous and differentiable function, at least one point where tangent is horizontal
$math{f(x), f(a) = 0, f(b) = 0, f(c) = 0, a < c < b}",
,Mean value theorem/Medelvärdesatsen,"If f is continuous on [a, b] and differentiable on (a, b) (+ defined at all points (a, b)), then there exists
a point c in (a, b) such that f'(c)=(f(b)-f(a))/(b-a)
\Graph(C, L, (A)->(B)) ...

Some point where the derivative of f coincides with the average slope on an interval.

$math{g(x)=f(x)-(f(b)-f(a))/(b-a)*(x-a) -> g(a)=g(b)=f(a), if g not constant -> g max or min value -> g'(c)=0}
Case 1: f(x)=f(a)=f(b) for all x in (a, b) -> f'(x)=0 in (a, b)
Case 2: exist x_0: f(x_0)>(f(a)=f(b)), f max in x_1, max cannot be determined in a or b -> f'(x_1)<0
Case 3: exist x_0: f(x_0)<(f(a)=f(b)), f min in x_1, min cannot be determined in a or b -> f'(x_1)<0",
,Function roots,"If f(a) = f(b), then f'(x) must be zero somewhere in (a, b).
$math{f(x)=4x^5 + x^3 + 7x − 2 = 0 only one root}
1. The Intermediate Value Theorem -> Check root [0, 1]
2. MVS (Assume f(a)=f(b) in [a, b]), f'(x)=0 has no roots -> f(a)!=f(b)",
,Function comparasion,"$math{sqrt(1+x) <= 1+x/2, x>0}
$math{MVS between [0, x], c in (0, x) -> f'(c)=(f(x)-f(0))/(x-0), for x>0 -> f(x)=f(0)+f'(c)*x, f(x)=sqrt(1+x), f'(x)=1/(2sqrt(x+1)), sqrt(1+x)=1+1/(2sqrt(1+c))*x <= 1+1/2*x}",
,Check min/max,"$math{f(x)=(x-3)^42*(-x^2+6x-6), f(x)=0 -> x=3, x=3+sqrt(3), x=3-sqrt(3) -> MVS -> least 2 critical points}",
,"Mean value theorem corollary, Medelvärdesatsen följdsatser","$math{x_1<x_2, c in (x_1, x_2), f'(c)=(f(x_2)-f(x_1))/(x_2-x_1) -> f(x_2)-f(x_1)=f'(c)*(x_2-x_1) -> Determine sign of f'(c)}
Corollary 1. If f'(x) > 0 for all x in an interval I, then f is strictly increasing in I.
Corollary 2. If f'(x) < 0 for all x in an interval I, then f is strictly decreasing in I.
(f'(x) >= 0 or f'(x) <= 0, then “strictly” is removed)
Corollary 3. If f'(x) = 0 for all x in an interval I, then f is constant in I.
The opposite direction does not apply, strictly increasing does not infer f'(x)>0",
,,"Exception: cusps, when 2 portions of a curve have a common tangent and the point of contact is a sharp point (cusp), maxima and minima may occur when dy/dx = 0",
,,"$math{f(x)=sqrt(x(2-x)), f'(x)=(1-x)/sqrt(x(2-x))}
$math{signtable([-, 0, -, 1, -, 2, -], (1-x)=[+, +, +, 0, -, -, -], sqrt(x(2-x))=[*, 0, +, +, +, 0, *], [*, *, +, 0, -, *, *])}
-> f strict increasing (0, 1), f strict decreasing (1, 2)","$math{(f=2x^3+3x^2-12x -> f'=6(x-1)(x-2)), (f=sqrt(x(2-x)) -> f'=(1-x)/sqrt(x(2-x)))}"
,,,
,,,
,Tangent and normals,"$math{f(x) -> tangent, normal, intersect P(x_1, y_1)}
$math{A subtangent B subnormal C}",
,Tangent line,"$math{f(x) \\inter T(x) = (a, f(a))}
$math{f(x)=..., f'(x)=...}
$math{=> f(a)=T(a) => A=f'(a)*a+m => m=A-a*f'(a) => T(x) = f'(a)*x+m}
$math{y-f(a)=f'(a)(x-a), y=f(a)+f'(a)(x-a)}","$math{f=sqrt(x), f=tan(x), (f=x^4+2, a=2)}"
,,$math{(y-y_1)/(x-x_1) = f'(x)},
,Normal line,"$math{f(x) \\inter N(x) = (a, f(a))}
$math{f(x), f'(x)}
$math{-> f(a)=N(a) ->}",
,,$math{(y-y_1)/(x-x_1) = -1/f'(x)},
,Tangent slope equation,"$math{f(x) \\inter T(x) = (a, A)}
$math{f(x)=..., f'(x)=...}
$math{=> f'(a)=(A-T(x))/(a-x) => [T(x)]}",
,Subtangent,"$math{""AB"" = y_1/f'(x_1)}",
,Subnormal,"$math{""BC"" = y_1*f'(x_1)}",
,,,
,,,
,Implicit differentiation/Implicit derivata,"$math{A(x)+{k=0, n, B[k](y[k])}+C=D(x)+{k=0, n, E[k](y[k])}+F -> A'(x)+{k=0, n, B'[k](y[k])*y'[k]}=D'(x)+{k=0, n, E'[k](y[k])*y'[k]} -> …}","$math{(A(x)=-x^4-x^2, B=[y^3+y], C=10, D=0, E=0, F=10, -> y'), (A(x)=x^4, B=[y^4, xy], F=1), (A(x)=x^2, B=[y^2], F=1)}"
,,"$math{{$*, x=6, L((x, 0), (0, y), 10), v((x, 0), (0, 2))} -> d/(dt)(x^2+y^2)=d/(dt)(10)}
$math{{$A, s=15, 3RHA(B(\t), C (5), A (s)), v(C, (-600, 0))} -> d/(dt)(tan(\t))=d/(dt)(5/s) -> d/(dt)(\t)=-5s'cos^2(\t)/s^2}",
,,"$math{V=c, d/dt(V)=d/(dt)(\pi*r^2*l) -> 2r'/r=-l'/l}",
,,$math{d/(dt)(pV^1.4)=d/(dt)(C) -> dp/dt},
,Water tank problem,"$math{V=\pi*r^2*h/3, h/8=r/6 -> V = \pi(3h/4)^2*h/3 = 3\pi*h^3/16 -> (V)' = (3\pi*h^3/16)' = 9*\pi*h^2*h'/16}",
,Chain rules application,"$math{dA/(dr)=d/dr*\pi*r^2=2\pi*r}
$math{dA/(dt)=dA/(dr)*dr/(dt)=2\pi*r*1=2\pi*3=6\pi}",
,,"$math{dV/(dr)=d/(dr)*4\pi*r^3/3=4\pi*r^2}
$math{dr/(dt)=dV/(dt)/(dV/(dr))=16/(4\pi*r^2)=16/(4\pi*11^2)=4/(121\pi)}",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
