Name,Basic relationship,Presetted values
,"$math{cos(2x)=cos^2(x)-sin^2(x)}
$math{=2cos^2(x)-1}
$math{=1-2sin^2(x)}","$math{x=10\deg}
$math{cos^2(15\deg)-sin^2(15\deg) => {x=15\deg}}
$math{sin(v)=4/5, cos(2v)=1-2(4/5)^2}"
,$math{sin^2(x) = (1-cos(2x))/2},
,$math{cos^2(x) = (1+cos(2x))/2},
,$math{cos(3x) = 4cos^3(x)-3cos(x)},
,$math{sin(1/2*x) =  \pm\sqrt((1-cos(x))/2)},
,$math{tan(x+y)=(tan(x)+tan(y))/(1-tan(x)tan(y))},
,$math{tan(x-y) = (tan(x)-tan(y))/(1+tan(x)tan(y))},
,$math{tan(2x) = (2tan(x))/(1+tan^2(x))},
,$math{tan(3x) = (3tan(x)-tan^3(x))/(1-3tan^2(x))},
,$math{cot(x+y)=(1-cot(x)cot(y))/(cot(x)+cot(y))},
,$math{cot(x-y)=(1+cot(x)cot(y))/(cot(x)-cot(y))},
,$math{cot(2x)=(1-cot^2(x))/(2cot(x))},
,"$math{b=cos(v) -> sin(v+pi/4)=sin(v)cos(\pi/4)+cos(v)sin(\pi/4)=[sin(v)->sqrt(1-b^2), cos(v)->b]}",
,$math{sin(x)sin(y)=(-cos(x+y)+cos(x-y))/2},
,$math{cos(x)cos(y)=(cos(x+y)+cos(x-y))/2},
,$math{sin(x)cos(y)=(sin(x+y)+sin(x-y))/2},
,$math{cos(x)sin(y)=(sin(x+y)-sin(x-y))/2},
,"Using variable substitute
$math{cos(s+t)+cos(s-t)=2cos(s)cos(t)}
$math{x=s+t, y=s-t => s=(x+y)/2, t=(x-y)/2 => cos(x)+cos(y)=cos((x+y)/2)cos((x-y)/2)}",
,$math{sin(x)+sin(y)=2sin((x+y)/2)cos((x-y)/2)},
,$math{sin(x)-sin(y)=2cos((x+y)/2)sin((x-y)/2)},
,$math{cos(x)+cos(y)=2cos((x+y)/2)cos((x-y)/2)},
,$math{cos(x)-cos(y)=-2sin((x+y)/2)cos((x-y)/2)},
Simplifications,,$math{sin(x)(1/sin(x)-sin(x))=sin(x)*1/sin(x)-sin(x)sin(x)=1-sin^2(x)=cos^2(x)}
,,$math{1-cos^2(x)/(1+sin(x))=1-(1-sin^2(x))/(1+sin(x))=1-(1+sin(x)(1-sin(x))/(1+sin(x))=1-1+sin(x)=sin(x)}
,,$math{(1-sin(x))/cos(x)=(1-sin(x))(1+sin((x))/(cos(x)(1+sinn(x))=(1-sin^2(x))/(cos(x)(1+sin(x))=cos^2(x)/(cos(x)(1+sin(x))=cos(x)/(1+sin(x))}
,,$math{1/sin(x)-1/tan(x)=1/sin(x)-cos(x)/sin(x)=(1-cos(x))/sin(x)=(1-cos(x))(1+cos(x))/(sin(x)(1+cos(x))=sin(x)/(1+cos(x))}
,,$math{(1+tan(x))/(sin(x)+cos(x))=(1+sin(x)/cos(x))/(sin(x)+cos(x))=(sin(x)+cos(x))/cos(x)/(sin(x)+cos(x)=1/cos(x)}
,,$math{(tan(x)-sin(x))/sin^3(x)=(sin(x)/cos(x)-sin(x))/sin^3(x)=(sin(x)-sin(x)cos(x))/cos(x)/sin^3(x)=sin(x)(1-cos(x))/sin^3(x)}
