Unnamed: 0,Historical events,Political perspective,Economical perspective,Technological perspective,Cultural and religious perspective,Social perspective
,"Osmansk rike expansion
-> Tar över vanlig handel
-> Sjöfart runt jorden, europeisk forskning
-> Nya geografiska upptäckter för eftertraktade varor (kryddor som drivkraft, silver, guld)
Handeln som huvudroll, undvikelse av osmansk kontroll av östra medelhavet, sprida kristendom (påvens välsignelse)","1513 Niccolo Machiavelli
""Fursten"" -> Samla makt, ingen moral (om det inte behövs)
-> Vän mot vänner, ond mot fiender, mot kyrkans tankesätt","
Handelskapitalism:
Handelns tillväxt (handeln har ändå begränsad inflytande)
Kapitalinvestering (Åstadskomma en vinst -> Möjligtvis förstora kapital)","Nya skeppbyggnadsteknik, navigationskarta, kompass -> Handelskapitalism","Renässanskultur: Oftast skapade av förmögna italienska köpmän
Humanism inspirerad från Antiken (Enskild individ i centrum
Människans förmåga till skapande, inte en syndfull varelse
-> Individens frihet och beundran över stora personlighet
-> Kropp och själ: Levande människor, individuella drag
Da Vinci (Mona Lisa), Micheangelo","Folkmängden ökar
Bönders livsvillkor och bondeupproren som följde på reformationens ideer"
,"1487 Bartolomeo Diaz
-> Afrikas sydspets (Godahoppssunden) Kapstaden",Ny stridsteknik och militärförändring (Riddarhärar med vältränade fotsoldater med krutladdade skjutvapen och artilleripjäsare),"-> Spridning till nya sektorer
Hantverkare blir leverantärer till rika handelsmän
Förlagssystem: Fattig folk som arbetare, förordnade råvaror och verktyg av affärsmän
Bankfirmor som viktiga knutpunkter -> Nät av kontorer binder tillsammans viktiga handelsstäder",,"Reformation:
Martin Luther -> 95 teser
(Obetingat tro och tillit på Guds nåd)
Följa samvete, bibelns rena ord till frälsning
(Inte längre gärningar), Wittenberg
-> Översättning av Bibeln till lokalspråk
-> Påvar, präster och munkar är onödiga",Slaveri och tvångsarbete i kolonierna
,"1492 Christoffer Columbus
-> Nya världen
Segling vänster mot Indien och Kina -> Intresse för spanska kungaparet Ferdinand och Isabella -> 3 skepp -> Syd och Nordamerika Västindien -> Ursprungsbefolkning kallas för indianer","-> Utveckling av stark och handelskraftiga kungamakt, kungaroberoende av lagar och regler av vanligt folk, besegra vasaller",Fugger-familjen och bankväsendet framväxt,,,"Religiös tolerans (Nederländerna)
Förföljelse (Inkvisition i Spanien)"
,1498 Vasco da Gama -> Rätt väg till Indien (Calicut),"-> Höjd skattetryck, tull hos köpmän, beslag på kyrkans egendom (Minskad religiös inflytande)
-> Bönder revolt på skattetryck
Bönder skydd mot adelns godtycke
Borgare tryggare och säkrare betingelse för handeln
Adelsmän åt andra sidan får behålla ekonomiska priviegier och nya karriärsvägar","Inflation:
Stigande priser för livsmedel
(Växande efterfrågan än utbud, silverinflödet från kolonier)
Handelsmän företagare, storbönder och adelsmän gynnas (Mer värde för sålda produkter)
Adelsmän med utarrenderad jord drabbas (konstant avgift från bönder)
Fattigaste (arbete mot lön) påverkas kraftigt, kraftigt försämrade villkor, svält vid stigande livsmedelspriser",,,
,1499 - 1501 Amerigo Vespucci -> Amerika,,,,,
,1520 Magellan (Västliga vägen) 3 år,,,,,
