Enantiomerism(Optical isomerism)/Spegelbildsisomeri(Optiska isomerer) (L-mjölksyra vs D mjölksyra), Kiralt kol (assymetrisk centra), GRupperna har olika riktning kring assymetrisk centrum i molekylen, har olika egenskaper -> binder till olika receptorer, blandning skapar en racemisk blandning",,,,,,,,,,,,
Alkanes/Alkaner (-),,"(Mättad, endast enkelbindning) Endast van-der-Waalsbindning -> (Fettlösliga, relativt låga kokpunkter)",,,,,,,,,,,,
Haloalkanes/alkyl halogenides/Haloalkaner (-X),,"En eller flera halogenatomer bunden till en alkan
Funktionella grupper är halogenatomer. Alkylhalogenider är vanligtvis flytande vid rumstemperatur och har högre kokpunkt än alkaner med lika långa kolkedja (Elektronegativa, mer reaktiva än motsvarande alkan)
Attraktionskrafterna ökar med ökad molekylmassa, RF < RCl < RBr < RI, och ökad längd på alkylgruppens kolkedja R eftersom van der Waalsbindningar blir starkare. Ju fler grenade kedjor desto lägre kokpunkt -> Klorerade lösningsmedel",,,,,,,,,,,,
Cl+1,,-97.7,,-24.2,,,,,TRA,Sweet odor,-,-,"Dizziness, Tiredness, Confusing, Respiration system damages, Celebral neural damages",Kylmedel vid 1835
Cl+2,,-138.3,,12.3,,,,,TRA,-,-,-,Celebral neural damages (block nerv impulses),
Cl+3,,-122.8,,46.7,,,,,TRA,-,-,-,"Celebral neural damages, Irritating",
Cl+4,,-123,,77,,,,,TRA,-,-,Flammable,.,
Cl+5,,-99,,107,,,,,TRA,-,-,Flammable,-,
2Cl+1,,-97,,40,,,,,-,Sweet odor,-,Highly flammable,Nauseating,"Avfettsmedel, lösningsmedel"
3Cl+1,,-63,,62,,,,,TRA,-,-,-,"Liver damages, Arrhythmias",Förr bedövning
4Cl+1,,-23,,76,,,,,-,Sweet odor,-,Highly flammable,"Liver damages, Kidney damages, Celebral neural damages","Lösningsmedel, färg, lim"
2Cl+2,,-35.7,,83.5,,,,,TRA,-,Oily,-,-,Fettborttagning
3Cl+2,,-35.5,,113.6,,,,,TRA,-,LD+KD+CED???,,,
3Cl+2,,-35.5,,113.6,,,,,TRA,-,-,-,"Liver damages, Kidney damages, Celebral neural damages",
"(1Cl,1-2)4",,-,,-,,,,,-,-,-,-,-,
(1Cl-2*2-2)3,,-,,-,,,,,-,-,-,-,-,
F+1,,-,,-,,,,,-,-,-,-,-,
F+2,,-,,-,,,,,-,-,-,-,-,
F+3,,-,,-,,,,,-,-,-,-,-,
F+4,,-,,-,,,,,-,-,-,-,-,
F+5,,-,,-,,,,,-,-,-,-,-,
"(F,3Cl)1",,-110.5,,23.7,,,,,TRA,-,-,-,-,
"(2F,2Cl)1",,-157.8,,-29.8,,,,,TRA,-,-,-,-,
"(3F,Cl)1",,-181,,-81.5,,,,,TRA,Sweet odor,-,-,-,
"(Br,2F,Cl)1",,-159.5,,-3.7,,,,,TRA,-,-,-,-,Bransläckare
"(Br,3F)1",,-108.9,,7,,,,,TRA,-,-,-,-,Brandsläckare
"(2Br,2Cl,3F-1)2",,-76,,73,,,,,-,-,-,-,-,Narkosmedel
Alcohols/Alkoholer (-OH),,"Funktionella grupper hydroxylgrupp (-OH)
Bildas oftast från cellens metabolism (jäsning av druvsocker). Alkohol framställs industriellt via syntetiska reaktioner
Alkoholers funktionella grupp med vätebindning (Högre kokpunkt än motsvarande alkaner, polära karaktärer störst för kortare kolvätekedja/flest), R-O-H <-> O (-H) -R
Etanol/Etylalkohol: (Mest kända av alkoholen) ingår i öl, vin och sprit men har andra användningsområden bland annat motorbränsle, läsningsämne och desinfektionsmedel, jäsning av spannmål/potatis -> 15% etanol (halten ökas vid destillation) -> 96%, fordonsbränsle (85% etanol, 12.5% bensin, 2.5% andra organiska ämnen), absolut alkohol -> (CaO -> Ca(OH)2)
Kylarvätska: Blandning med vatten -> Frostskyddsmedel (Förhindrar vatten bilda regelbundna kristaller) (Glukol, glycerol, propylenglukol)",,,,,,,,,,,,
1OH,,-97.80000000000001,3.16,64.19999999999999,35.3,,,,TRA,Faint odor,-,-,Blind,"Lösningsmedel, effektiv bränsle"
2OH,,-114.30000000000001,4.6,78.5,43.5,,,2.42,TRA,-,-,-,Celebral neural damages(Intoxication),"Bakterie, svamp, virusmedel"
3OH,,-126,,97,,,,,TRA,Mild odor,-,-,-,"Fermentation, finkelolja"
4OH,,-89,,117,,,,,TRA,-,-,-,-,Eteriska oljor
5OH,,-77.6,,138,,,,,TRA,-,-,Flammable,-,"Lösningsämne, smakämne"
6OH,,-45,,157,,,,,TRA,Perfume/cut_grass,-,-,.,"Parfym, nyklippt gräs"
7OH,,-34.6,,175.8,,,,,-,Pleasant,-,-,-,"Hjärtelektrofysisk experiment, kosmetika"
8OH,,-14,,200,,,,,TRA,Citrus,-,-,-,Essentiella oljor
9OH,,-6,,214,,,,,BLA~YEL,Citronella_oil/Orange,-,-,Irritating(Skin/Eyes),
10OH,,6.4,,233,,,,,TRA,-,Viscous,-,-,"Lösningsmedel, smörjmedel"
2(12OH),,-13,,198,,,,,TRA,-,-,-,"Kidney damages, Celebral neural damages",Hindrar vätskefrysning
