Ämne,Melting,Boiling,Critical temperature,Critical pressure (atm),Color (burn color),Odour,Structure,Reactivity,Toxicity,Application,Bildningsentalpi ΔH(0)_f,Gibbs fria energi ΔG^(0)_f,"Värmekapacitet C_(P, m)",Entropi* S(0) 
,,,,,,,,,,,kJ mol^(-1),kJ mol^(-1),J K^(-1) mol^(-1),J K^(-1) mol^(-1)
F2(g),,,,,,,,,,,0,0,31.30,202.78
F-(aq),,,,,,,,,,,-332.63,-278.79,-,-13.8
HF(g),,,,,,,,,,,-271.1,-273.2,29.13,173.78
HF(aq),,,,,,,,,,,332.63,-278.79,-,-13.8
"Fe, Järn",,,,,,,,,,,,,,
Fe(s),,,,,,,,,,,0,0,25.10,27.28
Fe 2+(aq),,,,,(RE1),,,,,,-89.1,-78.90,-,-137.7
Fe 3+(aq),,,,,,,,,,,-48.5,-4.7,-,-315.9
"Fe3O4(s), magnetit",,,,,,,,,,,-1118.4,-1015.4,143.43,146.4
"Fe2O3(s), hematit",,,,,,,,,,,-824.2,-742.2,103.85,87.40
"FeS(s, \alpha)",,,,,,,,,,,-10.0,-100.4,50.54,60.29
FeS(aq),,,,,,,,,,,-,6.9,-,-
FeS2(s),,,,,,,,,,,-178.2,-1669,62.17,52.93
"H, Väte (se även Deuterium)",,,,,,,,,,,,,,
H2(g),,,-240.0,13.0,,,,,,,0,0,28.82,130.68
H(g),,,,,,,,,,,217.97,203.25,20.78,114.71
H+(aq),,,,,,,,,,,0,0,0,0
H2O(l),,,374.0,218.0,,,,,,,-285.83,-237.13,75.29,69.91
H2O(g),,,,,,,,,,,-241.82,-228.57,33.58,188.83
H2O2(l),,,,,,,,,,,-187.78,-120.35,89.1,109.6
H2O2(aq),,,,,,,,,,,-191.17,-134.03,-,143.9
H3O+(aq),,,,,,,,,,,-285.83,-273.13,75.29,69.91
"Hg, Kvicksilver",,,,,,,,,,,,,,
Hg(l),,,,,,,,,,,0,0,27.98,76.02
Hg(g),,,,,,,,,,,61.32,31.82,20.79,174.96
HgO(s),,,,,,,,,,,-90.83,-58.54,44.06,70.27
Hg2Cl2(s),,,,,,,,,,,-265.22,-210.75,102,192.5
"I, Jod",,,,,,,,,,,,,,
I2(s),,,,,,,,,,,0,0,54.44,116.14
I2(g),,,,,,,,,,,62.44,19.33,36.90,260.69
I-(aq),,,,,,,,,,,-55.19,-51.57,-,111.3
HI(g),,,,,,,,,,,26.48,1.70,29.16,206.59
"Li, Litium",,,,,,,,,,,,,,
Li+,,,,,(\RE1),,,,,,,,,
"K, Kalium",,,,,,,,,,,,,,
K(s),,,,,,,,,,,0,0,29.58,64.18
K(g),,,,,,,,,,,89.24,60.59,20.79,160.34
K+(aq),,,,,(\PUR),,,,,,-252.38,-283.27,-,102.5
KOH(s),,,,,,,,,,,-424.76,-378.08,64.9,78.9
KOH(aq),,,,,,,,,,,-482.19,-440.50,-,91.6
K3N,,,,,,,,,,,,,,
KF(s),,,,,,,,,,,-567.27,-537.75,49.04,66.57
KCl(s),,,,,,,,,,,-436.75,-409.14,51.30,82.59
KBr(s),,,,,,,,,,,-393.80,-380.66,52.30,95.90
KI(s),,,,,,,,,,,-327.90,-324.89,52.93,106.32
KClO3(s),,,,,,,,,,,-397.73,-294.25,100.25,143.1
KClO4(s),,,,,,,,,,,-432.75,-303.09,112.38,151.0
K2S(s),,,,,,,,,,,-380.7,-364.0,-,105
K2S(aq),,,,,,,,,,,-471.5,-480.7,-,190.4
"Mg, Magnesium",,,,,,,,,,,,,,
Mg(s),,,,,,,,,,,0,0,24.89,32.68
Mg(g),,,,,,,,,,,147.70,113.10,20.79,148.65
Mg 2+(g),,,,,,,,,,,-466.85,-454.8,-,-138.1
MgO(s),,,,,,,,,,,-601.70,-569.43,37.15,26.94
MgCO3(s),,,,,,,,,,,-1095.8,-1012.1,75.52,65.7
Mg3N2,,,,,,,,,,,,,,
MgS,,,,,,,,,,,,,,
MgBr2(s),,,,,,,,,,,-524.3,-501.8,-,117.2
"Mn, Mangan",,,,,,,,,,,,,,
MnO4-,,,,,VIO,,,,,,,,,
MnO4 (2-),,,,,GRE,,,,,,,,,
