_,MAS(u),ELE,MLt,BLT,ELA,1IZ(kJ/mol),RAD(Cal),RAD(Emp),HAR(Brinell),DEN(STP),DEN(Liquid),TCO,ECO,SPH,VAH,FUH,COF,Description
59Pr,140.9077,1.13,930.9,3290.0,50,527.0,247,185,481,6640,6500,13,1.4,193,330.0,6.9,6s2.4f3,
60Nd,144.242,1.14,1021,3100.0,50,533.1,206,185,265,7010,6890,17,1.6,190,285.0,7.1,6s2.4f4,
61Pm,145.0,-,1100,3000.0,50,540.0,205,185,-,7264,-,15,1.3,-,290.0,7.7,6s2.4f5,
62Sm,150.36,1.17,1072,1803.0,50,544.5,238,185,441,7353,7160,13,1.1,196,175.0,8.6,6s2.4f6,
63Eu,151.964,-,821.9,1500.0,50,547.1,231,185,-,5244,5130,14,1.1,182,175.0,9.2,6s2.4f7,
64Gd,157.25,1.2,1313,3250.0,50,593.4,233,180,-,7901,7400,11,0.77,240,305.0,10.0,4f7.5d1,
65Tb,158.9254,-,1356,3230.0,50,565.8,225,175,677,8219,7650,11,0.83,182,295.0,10.8,6s2.4f9,
66Dy,162.5,1.22,1412,2567.0,50,573.0,228,175,500,8551,8370,11,1.1,167,280.0,11.1,6s2.4f10,
67Ho,164.9303,1.23,1474,2700.0,50,581.0,226,175,746,8795,8340,16,1.1,165,265.0,17.0,6s2.4f11,
68Er,167.259,1.24,1497,2868.0,50,589.3,226,175,814,9066,8860,15,1.2,168,285.0,19.9,6s2.4f12,
69Tm,168.9342,1.25,1545,1950.0,50,596.7,222,175,471,9320,8560,17,1.4,160,250.0,16.8,6s2.4f13,
70Yb,173.045,-,818.9,1196.0,50,603.4,222,175,343,6570,6210,39,3.6,154,160.0,7.7,6s2.4f14,
71Lu,174.9668,1.27,1663,3402.0,50,523.5,217,175,893,9841,9300,16,1.8,154,415.0,22.0,4f14.5d1,
72Hf,178.486,1.3,2233,4603.0,0,658.5,208,155,1700,13310,12000,23,3.3,144,630.0,25.5,4f14.5d2,
73Ta,180.9479,1.5,3017,5458.0,31,761.0,200,145,800,16650,15000,57,7.7,140,735.0,36.0,4f14.5d3,
74W,183.84,2.36,3422,5555.0,78.6,770.0,193,135,2570,19250,17600,170,20,132,800.0,35.0,4f14.5d4,
75Re,186.207,1.9,3186,5596.0,14.5,760.0,188,135,1320,21020,18900,48,5.6,137,705.0,33.0,4f14.5d5,
76Os,190.23,2.2,3033,5012.0,106.1,840.0,185,130,3920,22590,20000,88,12,130,630.0,31.0,4f14.5d6,
77Ir,192.217,2.2,2466,4428.0,151,880.0,180,135,1670,22560,19000,150,21,131,560.0,26.0,4f14.5d7,
78Pt,195.084,2.28,1768.3,3825.0,205.3,870.0,177,135,392,21450,19770,72,9.4,133,490.0,20.0,4f14.5d9,
79Au,196.9666,2.54,1064.18,2856.0,222.8,890.1,174,135,25,19300,17310,320,45,129.1,330.0,12.5,4f14.5d10,
80Hg,200.59,2,-38.83,356.73,0,1007.1,171,150,-,13534,13534,8.3,1,139.5,59.2,2.29,4f14.5d10,
81Tl,204.38,1.62,304,1473.0,19.2,589.4,156,190,26.4,11850,11220,46,6.7,129,165.0,4.2,5d10.6p1,
82Pb,207.2,2.33,327.46,1749.0,35.1,715.6,154,180,38.3,11340,10660,35,4.8,127,178.0,4.77,5d10.6p2,
83Bi,208.9804,2.02,271.3,1564.0,91.2,703.0,143,160,94.2,9780,10050,8,0.77,122,160.0,10.9,5d10.6p3,
84Po,209.0,2,255,961.9,183.3,812.1,135,190,-,9196,-,-,2.3,-,100.0,13.0,5d10.6p4,
85At,210.0,2.2,302,350.0,270.1,890.0,127,-,-,-,-,2,-,-,40.0,6.0,5d10.6p5,
86Rn,222.0,-,-71.1,-61.85,0,1037.0,120,-,-,9.73,-,0.00361,-,93.65,17.0,3.0,5d10.6p6,"Markradon, byggradon, Radioaktiv, orsakar lungcancer"
87Fr,223.0,0.7,20.9,650.0,-,380.0,-,-,-,-,-,-,-,-,65.0,2.0,6p6.7s1,
88Ra,226.0,0.9,700,1737.0,-,509.3,-,215,-,5000,-,19,1,92,125.0,8.0,6p6.7s2,
