Compound,Melting,Boiling,Color,Odour,Structure,Reactivity,Toxicity,Application
BaSO4,,,,,,,,
CaSO4,,,,,,,,
PbSO4,,,,,,,,
Ba2CO3,,,,,,,,
CaCO3,,,,,,,,
MgCO3,,,,,,,,
Al2(CO3)3,,,,,,,,
MnCO3,,,,,,,,
FeCO3,,,,,,,,
Fe2(CO3)3,,,,,,,,
CuCO3,,,,,,,,
Ag2CO3,,,,,,,,
PbCO3,,,,,,,,
NiCO3,,,,,,,,
CoCO3,,,,,,,,
FePO4,,,,,,,,
AlPO4,,,,,,,,
KNO3,,,,,,,,
