Short name,Name,Structure,Contains in,Description
,Fibrous proteins,"Long alpha-helix fibers, amino acids with hydrophobic R chains",,e.g. collagen
,,,,
,,,,
,,,,
KE,Keratine,,Hair/Nails,
AK,Actine,,Muscles,
TB,Tubiline,,,
H1,Hemoglobine,,"Blood, transport O2",
CL,Collagen,,"Skin, hair, nail, bones, cartilage, joints",
INS,Insuline,,,
KIN,Kinesine,,,
DYN,Dyneline,,,
MYS,Myosine,,,
\{ST},Structure,,Building Material,
\{F0},Defense,,Defense Recognition & Destruction of Harmful Substances,
\{SI},Signal,,Signal Hormones,
\{R0},Receptor,,Receptor of hormones,
\{L0},Storage,,Storage Amino Acid,
\{T0},Transport,,Active Transport,
\{G0},Gene regulating,,Gene regulation,
Enzymes [ENZ],,,,"Catalyst of life (1e3~1e6 faster)
Enzyme-substrate complex (active center binding)
Cofactor (heme group in hemoglobin/coenzyme certain vitamins)"
Enzyme function,"Substrate fits perfectly into active surface: (1: BLOB(0, 0, 4, 4), 2: CIRC(0, 0, ), 3: )
Enzyme-substrate complex (specific enzyme -> specific substrate)
Enzyme-product complex
Products are released
The active center of the enzyme",,,
Enzyme working capacity/Enzyme activity,"Working capacity of enzymes (number of substrates/second): W = n_sub/t
...",,,
Inhibitor,,,,
Competitive inhibitor,"Molecule that prevents the substrate from binding to the enzyme, similar to the substrate -> blocks the active site",,,
Non-competitive inhibitor,"Molecule that prevents the substrate from binding to the enzyme, binds to other parts -> changes the active site",,,
Coenzyme,"Cofactor of organic substance, binds to enzyme only during reaction",,,
Cofactor,"Auxiliary substance to an enzyme, e.g. metal ion, organic molecule",,,
Prosthetic group,"Firmly bound in protein molecule, organic molecule tightly bound to protein",,,
,,,,
,,,,
+^,Syntase,ATP+^,,e.g. ATP-syntase
-^,Lysase,PRO^ PEP^,,
AMY^,Amylase,n*60 = 60+50,,
LIP^,Lipase,[LIP]->nCOOH,,
,Phospholipase,,,
LAK^,Lactase,Lactose/Pepsine->(Peptide bonds),,
,Peptidase,,,
PEP^,Pepsine,,,
PRO^,Protease,[PRO]->[AMI],,
,DNA-polymerase,,,
,Glycogene synthase,,,
,Alcohol dehydrogenase,,,
,Helicase,,,
,Catalase,,,
,Decarboxylase,,,
,Sackarase,,,
,Cellulase,,,
Nucleic acids [NUC],,,,
A,Adenine,(1ring),,
G,Guanine,(1ring),,
C,Cytosine,(2ring),,
T,Tymine,(2ring),,
U,Uracile,(2ring),,
AMP,Adeninmonophosphate,...,,
ADP,Adenindiphosphate,...,,
ATP,Adenintriphosphate,...,,
,Adenosine,,,
NG,Guanosine,,,
NC,Cytidine,,,
NT,Tymidine,,,
NU,Uracile,,,
n(N4)',RNA,(1string)+(AUCG)+Ribose,,
n(N4)1,mRNA,Messager,,
n(N4)1,rRNA,Ribosome,,
n(N4)1,tRNA,Transport,,
"n(N4)""",DNA,(2string)+(ATCG)+Deoxyribose,,
,,,,
,,,,
Vitamines [VIT],,,,
A,,,,Contribution to vision
D,,,,Help hormone production
Cell substance,,,,
,Hormone suppressants,,,
,Pain-relieving medicines,,,
,Cytotoxin,,,
,Toxines,,,
,,,,
Medicines,,,,
,Ibuprofen,,,
,Paracetamol,,,
,Aspirin,,,
,Vaccin,,,
,Antibiotics (Penicillin),,,
,,,,Alexander Fleming (1928)
